sample_id,method,test_role,source_family,sensor_strategy,noise_level,sensor_count_bin,rmse,mae,relative_l2,maximum_absolute_error,source_integral_error,source_peak_value_error,source_peak_location_distance,nonnegative_violation_fraction,boundary_maximum_absolute,source_squared_error_sum,source_absolute_error_sum,source_target_squared_sum,source_valid_node_count,source_global_maximum_absolute,source_integral_error_sum,nonnegative_violation_count,boundary_value_count,boundary_global_maximum_absolute,physics_temperature_rmse,physics_temperature_mae,clean_sensor_residual_rms,noisy_measurement_residual_rms,clean_relative_sensor_residual,noisy_relative_sensor_residual,temperature_squared_error_sum,temperature_absolute_error_sum,temperature_node_count,clean_sensor_squared_error_sum,clean_sensor_count,clean_sensor_reference_squared_sum,noisy_sensor_squared_error_sum,noisy_sensor_count,noisy_sensor_reference_squared_sum
syn-02f3a4401714823832c1f8ee,identity,test_id,rectangle,random,0.005,"[40,80)",0.7468335129699634,0.4786333520292642,0.7792690715920704,1.941479588501224,-92.1609287360572,-1.3820873993186935,9.848857801796104,0.0,0.0,501.98426648555073,430.7700168263378,826.6377336178642,900,1.941479588501224,-92.1609287360572,0,124,0.0,0.015264408120404586,0.00957579691650719,0.013404959898200234,0.013354334546544538,0.45582976225840915,0.4548397594322806,0.238594206992664,9.805616042503363,1024,0.010422191092596672,58,0.050159555112939715,0.01034361856849991,58,0.0499983479754868
syn-02f3a4401714823832c1f8ee,smoothness,test_id,rectangle,random,0.005,"[40,80)",0.8306507817234343,0.7590801199486484,0.8667265893260493,1.658820716484425,236.77755416666122,-1.3538071661848068,8.48528137423857,0.0,0.0,620.9826490599772,683.1721079537836,826.6377336178642,900,1.658820716484425,236.77755416666122,0,124,0.0,0.007156617435299988,0.005203789401596032,0.0071432230394479716,0.007137202684317755,0.24290215596001352,0.24308838007914801,0.05244638527000554,5.328680347234337,1024,0.002959486852695418,58,0.050159555112939715,0.0029545004051078887,58,0.0499983479754868
syn-a2096bf64f03305e360a7632,full_residual_attention,test_id,overlapping_hotspots,regular_grid,0.01,"[40,80)",0.13702663088745742,0.07954599543306932,0.21609142912998855,0.5242353921029075,-13.044169864990636,0.1802670828505235,1.0,0.0,0.0,16.89866781513075,71.5913958897624,361.8906690501888,900,0.5242353921029075,-13.044169864990636,0,124,0.0,0.00176339660293699,0.0012533308541353054,0.0016058657123718884,0.001638813053214693,0.07586511615633325,0.07794090902758033,0.0031841972011517096,1.2834107946345528,1024,0.0001031521874468669,40,0.017922318371752996,0.00010742832893547459,40,0.017684300535636868
syn-a2096bf64f03305e360a7632,residual_no_attention,test_id,overlapping_hotspots,regular_grid,0.01,"[40,80)",0.09840839193314156,0.06019125959848781,0.15519034448626354,0.44195108490264223,-13.046584553458615,0.07256268183428816,2.23606797749979,0.0,0.0,8.715790442580122,54.17213363863903,361.8906690501888,900,0.44195108490264223,-13.046584553458615,0,124,0.0,0.00063330726385167,0.00041654729838335223,0.0005552475643297489,0.0007149390302188169,0.026231284869504955,0.034002046667400636,0.00041070396461802364,0.4265444335445527,1024,1.2331994307764744e-05,40,0.017922318371752996,2.044551267720889e-05,40,0.017684300535636868
syn-a2096bf64f03305e360a7632,direct_sparse_mask,test_id,overlapping_hotspots,regular_grid,0.01,"[40,80)",0.14020711703585842,0.08440207983618714,0.22110706581816325,0.5354994894847861,-19.15049580428831,0.22136686960894636,2.23606797749979,0.0,0.0,17.692232100756208,75.96187185256842,361.8906690501888,900,0.5354994894847861,-19.15049580428831,0,124,0.0,0.001311420507064822,0.0008921266383949756,0.001175210799867685,0.0012604967712166837,0.055519900047216415,0.059948426687377473,0.0017610995162625587,0.913537677716455,1024,5.524481696502577e-05,40,0.017922318371752996,6.355408440990738e-05,40,0.017684300535636868
syn-a2096bf64f03305e360a7632,identity,test_id,overlapping_hotspots,regular_grid,0.01,"[40,80)",0.605565218408826,0.332857240451219,0.9549782595534484,2.0840880085881075,-291.64789045493507,-2.0601692091141186,4.123105625617661,0.0,0.0,330.0383103718763,299.5715164060971,361.8906690501888,900,2.0840880085881075,-291.64789045493507,0,124,0.0,0.02072437044880506,0.014953480422923278,0.019656774290952354,0.01951609602715836,0.9286352235762643,0.9281731446076049,0.4398075192312878,15.312363953073437,1024,0.015455551021017819,40,0.017922318371752996,0.015235120165650654,40,0.017684300535636868
syn-a2096bf64f03305e360a7632,smoothness,test_id,overlapping_hotspots,regular_grid,0.01,"[40,80)",0.5318293117981192,0.464375410911913,0.8386965022446106,1.5752822245541205,155.9971931346863,-1.5621737813106806,7.211102550927978,0.0,0.0,254.55817519889496,417.9378698207217,361.8906690501888,900,1.5752822245541205,155.9971931346863,0,124,0.0,0.007640390088141507,0.00583380651498114,0.007204847689540071,0.007179000615692769,0.3403750404810094,0.3414287143973285,0.05977657415574628,5.973817871340687,1024,0.0020763932091788363,40,0.017922318371752996,0.002061521993604686,40,0.017684300535636868
syn-776fccaf0a9375bdef18a78b,full_residual_attention,test_id,elongated_source,random,0.03,"[40,80)",0.5915863907416277,0.3810999182937525,0.34751219072809825,2.2782330165773934,-122.59581276649897,0.9898324112865771,10.295630140987,0.0,0.0,314.9770119396352,342.9899264643773,2608.187265994754,900,2.2782330165773934,-122.59581276649897,0,124,0.0,0.006417506806267333,0.0042208743207634266,0.005685275475453517,0.00644787614104069,0.07485848290902966,0.08423734817230595,0.04217281905509125,4.322175304461749,1024,0.0017454072905168333,54,0.31146893856324537,0.0022450557634308963,54,0.3163863653879064
syn-776fccaf0a9375bdef18a78b,residual_no_attention,test_id,elongated_source,random,0.03,"[40,80)",0.6228386441480085,0.4027927709657371,0.36587052218468574,2.429180316343393,-135.722390948481,0.21833230066035636,7.0710678118654755,0.0,0.0,349.1351789797166,362.5134938691634,2608.187265994754,900,2.429180316343393,-135.722390948481,0,124,0.0,0.005390623912634649,0.0038186103157613646,0.004502692171880099,0.0050454015157582995,0.05928731271661383,0.06591492064291035,0.029756237995487732,3.9102569633396373,1024,0.0010948087869143573,54,0.31146893856324537,0.0013746281285816721,54,0.3163863653879064
syn-776fccaf0a9375bdef18a78b,direct_sparse_mask,test_id,elongated_source,random,0.03,"[40,80)",0.6390319631416466,0.41957414925122255,0.3753828704176859,2.3069375840092174,-156.26098868126337,-0.020765771391645593,10.295630140987,0.0,0.0,367.525664925,377.6167343261003,2608.187265994754,900,2.3069375840092174,-156.26098868126337,0,124,0.0,0.008400935694632424,0.00523326253560118,0.00765201753037111,0.008247105240623855,0.10075473492710345,0.10774311732606476,0.07226953783843756,5.358860836455609,1024,0.0031618821033957663,54,0.31146893856324537,0.003672796221895975,54,0.3163863653879064
