method,test_role,aggregation_type,sample_count,rmse,mae,relative_l2,maximum_absolute_error,source_integral_error,source_peak_value_error,source_peak_location_distance,nonnegative_violation_fraction,boundary_maximum_absolute,physics_temperature_rmse,physics_temperature_mae,clean_sensor_residual_rms,noisy_measurement_residual_rms,clean_relative_sensor_residual,noisy_relative_sensor_residual,noisy_sensor_reference_squared_sum,noisy_sensor_squared_error_sum,temperature_squared_error_sum,source_integral_error_sum,boundary_value_count,source_absolute_error_sum,nonnegative_violation_count,temperature_node_count,source_global_maximum_absolute,source_target_squared_sum,source_valid_node_count,clean_sensor_reference_squared_sum,temperature_absolute_error_sum,boundary_global_maximum_absolute,clean_sensor_squared_error_sum,source_squared_error_sum,noisy_sensor_count,clean_sensor_count
identity,test_ood_noise,pooled_global,84,0.6701502579417012,0.2747491328465304,0.8946380280274328,5.767162565700987,-15847.071100826244,,,0.006124338624338624,0.0,0.0214206310379204,0.010283397388558569,0.01976592348020265,0.020732350709971155,0.8010441353067698,0.8148166281995819,4.891159168130137,3.2473684148371795,39.46787682433881,-15847.071100826244,10416.0,20771.0344431977,463.0,86016.0,5.767162565700987,42420.07816662194,75600.0,4.599978457882164,884.5367097742538,0.0,2.9516760278955863,33952.06343738125,7555.0,7555.0
identity,test_ood_sensor,mean_per_sample,72,0.5974932827764212,0.3118311252367547,0.8751271596689715,2.4794271845523994,-204.8907784231409,-2.329159919623282,4.506967667158457,0.0002469135802469136,0.0,0.015118678118679757,0.010628591390120814,0.020663658681079125,0.02067177792170947,0.6912079179328088,0.6919963545466761,,,,,,,,,,,,,,,,,,
identity,test_ood_sensor,pooled_global,72,0.7298098379866967,0.31183112523675466,0.8658748567449471,7.382326328922895,-14752.136046466147,,,0.0002469135802469136,0.0,0.020650493587141657,0.01062859139012082,0.02957645448610489,0.02957744009982979,0.7528893761214627,0.7529176015729181,9.495398195181181,5.382797996471546,31.440781054224047,-14752.136046466147,8928.0,20206.6569153417,16.0,73728.0,7.382326328922895,46034.57893918198,64800.0,9.49547729389504,783.6247860108278,0.0,5.382439258787007,34513.93149551652,6153.0,6153.0
identity,test_ood_shape,mean_per_sample,84,0.4358433519668069,0.15440820030298855,0.942799598212804,1.9432594100349572,-72.12392675168216,-1.839802449096628,4.658599470809659,0.0009523809523809524,0.0,0.007391470703245963,0.004719883342062447,0.007717596163157494,0.007747454174153882,0.7607638555750974,0.7616674610468986,,,,,,,,,,,,,,,,,,
identity,test_ood_shape,pooled_global,84,0.5186813635212398,0.1544082003029886,0.9090545279112071,3.8305407516665375,-6058.409847141303,,,0.0009523809523809524,0.0,0.009879161516175572,0.004719883342062447,0.009798417465814281,0.009827492951320255,0.6998969786434605,0.7006122817356941,1.5205373866089003,0.7463672856493506,8.394975139907064,-6058.409847141303,10416.0,11673.259942905937,72.0,86016.0,3.8305407516665375,24611.7907782603,75600.0,1.5146446444261992,405.98548555084346,0.0,0.7419574348000451,20338.694978937496,7728.0,7728.0
residual_no_attention,test_id,mean_per_sample,120,0.20521406576884088,0.09883273397678784,0.3277856826627892,1.182166223682963,-0.42194007989500953,-0.010309521415760676,3.138214576645206,0.0,0.0,0.0011928329140907996,0.0007934054609424322,0.0011541206372890074,0.0013158784487508175,0.07181332436265843,0.08064837632874795,,,,,,,,,,,,,,,,,,
residual_no_attention,test_id,pooled_global,120,0.25675421022581413,0.09883273397678781,0.3397407641715251,3.276943602259748,-50.632809587401155,,,0.0,0.0,0.001576529482059134,0.0007934054609424322,0.0014089598420649286,0.001609734829554483,0.056237662950493275,0.06416447818302017,7.454486749183947,0.0306907202472186,0.3054115071346657,-50.632809587401155,14880.0,10673.935269493084,0.0,122880.0,3.276943602259748,61682.72968288578,108000.0,7.4343174156861025,97.49366304060607,0.0,0.023512327856117485,7119.654242617609,11844.0,11844.0
residual_no_attention,test_ood_noise,mean_per_sample,84,0.29533099024251974,0.1611859247306586,0.5169121471415928,1.5641322838939256,27.393857120274262,-0.08265787572660288,3.8619363791752077,0.0,0.0,0.002052612091849657,0.0013910513705854737,0.0020228503050430434,0.004700293705116513,0.12766324700247686,0.2687923741624909,,,,,,,,,,,,,,,,,,
residual_no_attention,test_ood_noise,pooled_global,84,0.3600491976721626,0.16118592473065865,0.48065892742863753,4.614053505117129,2301.0839981030385,,,0.0,0.0,0.0027400269622462003,0.0013910513705854735,0.002351913209172495,0.005840155417343441,0.09531486271537642,0.22952803625073948,4.891159168130137,0.25768152258187443,0.6457864307939694,2301.0839981030385,10416.0,12185.655909637793,0.0,86016.0,4.614053505117129,42420.07816662194,75600.0,4.599978457882164,119.65267469228009,0.0,0.041790450341991886,9800.438110674222,7555.0,7555.0
residual_no_attention,test_ood_sensor,mean_per_sample,72,0.2616562102204122,0.12838268489548466,0.42198881624477846,1.484492709669996,-17.214407632962214,-0.07806922711458972,3.663676481991121,0.0,0.0,0.0017295118374189644,0.0011470926363894235,0.0020024589596816054,0.0021118318941948638,0.114713710602308,0.11917553045691014,,,,,,,,,,,,,,,,,,
